dates,scores,titles,url
10/02/2014,0.3478384615384616,Facebook Officially Launches The Mobile Like Button,https://techcrunch.com/2014/10/02/facebook-mobile-like-button-2/
10/01/2014,0.0442,Facebook Apologizes To LGBT Community And Promises Changes To Real Name Policy,https://techcrunch.com/2014/10/01/facebook-apologizes-to-lgbt-community-and-promises-changes-to-real-name-policy/
09/29/2014,0.053291666666666654,"No, People Are Not Leaving Facebook In Droves For Ello",https://techcrunch.com/2014/09/29/no-people-are-not-leaving-facebook-in-droves-for-ello/
09/28/2014,0.18533846153846156,Facebook Relaunches Atlas Ad Platform With Cross-Device Targeting And Offline Sales Tracking,https://techcrunch.com/2014/09/28/facebook-atlas-relaunch/
09/24/2014,-0.073246875,"When It Comes To Facebook Scale, You Can Throw Out The Rulebook",https://techcrunch.com/2014/09/24/when-it-comes-to-facebook-scale-you-can-throw-out-the-rulebook/
09/18/2014,-0.01812325581395349,Facebook Won’t Budge On Letting Drag Queens Keep Their Names,https://techcrunch.com/2014/09/18/facebook-wont-budge-on-letting-drag-queens-keep-their-names/
09/18/2014,0.07554666666666666,Regular Facebook Users Are More Likely To Fall For Phishing Scams,https://techcrunch.com/2014/09/18/regular-facebook-users-are-more-likely-to-fall-for-phishing-scams/
09/18/2014,0.257592,Facebook Gets More Twitterish By Showing Timely And Trending Posts Sooner,https://techcrunch.com/2014/09/18/facebook-gets-more-twitterish-by-showing-timely-and-trending-posts-immediately/
09/17/2014,0.1402388888888889,Facebook Says Don’t Panic Because Its iOS 8 App Won’t Actually Track Your Location More,https://techcrunch.com/2014/09/17/facebook-says-dont-panic-because-its-ios-8-app-wont-actually-track-your-location-more/
09/17/2014,0.22107777777777776,Auth0 Raises $2.4M To Help Developers Plug Into Identity Platforms Like Facebook,https://techcrunch.com/2014/09/17/auth0-raises-2-4m-to-help-developers-plug-into-identity-platforms-like-facebook/
09/16/2014,0.399654054054054,"Codenamed “Moments”, Facebook Has Built An App For Super-Private Sharing",https://techcrunch.com/2014/09/16/facebook-moments/
09/16/2014,0.3018526315789473,App Annie Now Tells Publishers How Well Facebook’s App Install Ads Work,https://techcrunch.com/2014/09/16/app-annie-now-tells-publishers-how-well-facebooks-app-install-ads-work/
